1,38,577
1,1,611
1,50,650
1,47,921
2,13,332
3,40,181
4,5,173
4,10,235
4,33,956
4,23,793
5,15,366
5,26,636
5,9,957
5,43,141
6,29,213
6,4,63
7,45,970
8,5,978
8,11,213
8,14,418
8,5,130
9,1,952
10,25,60
11,33,435
11,45,734
11,34,620
12,23,870
12,14,761
12,6,485
12,45,845
12,30,939
13,43,703
13,42,164
13,16,770
14,24,603
14,21,27
15,47,523
15,24,823
16,29,419
16,35,255
16,17,940
16,27,62
16,18,775
17,36,441
18,50,170
18,3,30
18,42,617
19,33,342
20,7,404
20,22,735
20,25,244
20,24,315
20,14,79
21,46,504
21,31,454
21,42,410
21,50,599
21,14,996
22,42,337
22,2,803
23,48,854
24,26,633
24,13,905
25,7,6
25,46,55
26,45,317
26,3,203
26,19,899
26,10,345
26,44,288
27,48,572
27,15,285
28,2,135
28,17,235
28,49,222
29,29,709
29,17,779
29,8,868
29,26,897
30,19,91
30,26,575
30,48,702
30,17,93
30,34,735
31,41,711
31,5,853
32,24,265
32,38,144
32,21,744
33,18,584
33,13,32
34,42,216
35,35,266
35,20,444
36,28,537
36,11,830
37,34,770
37,50,270
37,9,954
37,20,737
37,12,501
38,14,117
38,40,918
38,46,452
38,20,489
38,22,772
39,15,125
39,12,435
39,48,428
39,5,878
40,23,16
40,26,885
40,26,35
40,18,170
41,24,171
41,46,462
42,36,556
42,35,184
42,25,476
42,49,332
42,1,399
43,47,595
43,50,576
44,6,638
44,47,653
45,21,685
45,19,746
45,11,772
45,20,729
46,43,302
46,17,754
46,32,85
47,45,220
47,5,223
47,35,736
47,21,714
48,19,254
48,29,109
48,7,621
48,24,628
49,1,77
50,12,839
50,36,845
50,23,989
50,30,329
50,39,746
51,38,167
52,7,684
53,28,596
53,46,73
53,22,226
54,49,611
54,40,555
54,2,506
55,33,960
55,18,91
55,38,482
56,41,580
56,17,676
56,11,712
56,12,131
56,30,733
57,49,197
58,44,994
58,32,353
58,13,277
58,2,181
58,42,978
59,46,684
59,46,402
59,42,489
60,16,381
61,48,825
61,29,499
61,26,623
61,18,594
61,15,444
62,10,245
62,45,333
63,39,892
63,7,137
64,23,878
64,23,858
64,42,99
64,34,55
