1,1,9649
1,45,5646
1,46,5888
2,40,6609
2,33,2351
2,28,4291
3,18,8441
3,14,8357
3,9,6286
3,29,1854
4,10,181
5,21,5047
5,14,6159
5,15,5851
5,2,1479
6,28,8078
6,25,7737
6,45,448
6,16,2482
7,21,6266
7,5,1857
7,38,3986
8,5,4773
8,11,695
8,16,7339
8,19,9047
8,17,152
9,4,4641
9,9,8540
9,31,1279
9,41,2748
10,34,2088
11,38,6074
11,14,3187
11,24,1799
12,32,79
12,46,7010
12,36,2512
12,7,7671
12,32,378
13,4,1305
13,9,9047
13,46,9099
14,7,539
14,31,6275
14,27,6200
14,14,4386
15,32,9914
15,36,6002
15,49,1538
15,6,3018
15,1,5794
16,33,9167
16,30,8433
16,17,6039
16,17,8321
17,40,8426
17,28,7681
17,19,6306
17,14,4201
17,49,3184
18,38,3616
18,37,3701
19,41,6403
19,34,9404
19,24,5385
20,24,532
20,36,9859
20,48,2343
20,38,3680
20,17,2193
21,49,1243
21,21,7331
21,16,9659
21,32,7942
21,38,6575
22,17,8341
22,16,8792
22,44,6842
22,4,2041
23,31,9109
23,11,7117
24,37,5913
24,9,1165
25,11,3684
26,14,2766
26,11,8717
26,4,1046
27,48,6927
27,23,1867
27,22,1434
27,42,654
28,26,947
29,12,7458
29,24,6007
29,20,953
29,38,4780
29,25,5345
30,22,7697
30,8,2057
30,28,5668
31,7,4856
31,50,9615
31,27,3276
32,41,2624
32,17,934
33,31,4693
33,35,9167
33,47,4088
34,34,9516
35,15,2547
35,33,9082
35,46,5206
35,35,7949
35,49,6640
36,37,6880
36,29,5644
36,11,7517
36,21,1321
37,45,1805
37,13,3307
38,50,669
39,29,9258
39,9,66
39,18,2946
39,11,6834
39,15,2430
40,27,9829
41,8,2496
42,2,3827
42,40,2559
42,5,3476
42,37,7329
43,7,8962
43,20,759
44,37,7222
44,45,9171
44,12,5770
44,10,9156
44,29,2593
45,46,654
46,29,2909
46,11,6288
46,19,1632
46,3,6315
46,44,8058
47,42,8245
47,43,665
47,18,6111
48,1,9272
48,8,2439
49,6,5197
49,34,2421
49,7,222
50,4,769
50,47,1380
51,43,8023
51,39,1525
51,23,8249
51,32,3364
51,25,9791
52,24,7625
52,44,2130
53,31,8934
54,50,1589
54,21,1288
54,7,7487
54,20,1585
55,49,556
55,31,1240
